id,title,status,action,effectiveDate,linkedCanyons,textUrl,attachmentCount,sourceConfidence
570,Arrêté - 20 mai 2025,Actif,Indéfini,20 mai 2025,2,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/570/legislation.html,0,needs_manual_search
573,Arrêté municipal (La Bâthie) - 10 juin 2025,Actif,Réglemente,10 juin 2025,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/573/legislation.html,1,mirror_attachment_present
574,Arrêté - 06 fév 2025,Actif,Réglemente,06 fév 2025,3,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/574/legislation.html,1,mirror_attachment_present
575,Arrêté municipal (Lavaldens) - 11 juin 2025,Actif,Réglemente,11 juin 2025,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/575/legislation.html,2,mirror_attachment_present
579,Arrêté préfectoral (Var) - 13 mai 2025,Actif,Réglemente,13 mai 2025,84,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/579/legislation.html,1,mirror_attachment_present
584,"Arrêté municipal (Pied-de-Borne, Prévenchères) - 01 sept 2025",Actif,Interdit,01 sept 2025,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/584/legislation.html,2,mirror_attachment_present
585,Arrêté - 29 sept 2025,Actif,Indéfini,24 avr 2026,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/585/legislation.html,0,needs_manual_search
586,Arrêté municipal (Ceillac) - 23 sept 2025,Actif,Interdit,23 sept 2025,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/586/legislation.html,1,mirror_attachment_present
588,Information - 01 jan 2023,Actif,Interdit,01 jan 2023,3,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/588/legislation.html,1,mirror_attachment_present
589,Arrêté municipal (Juzet-de-Luchon) - 01 déc 1999,Actif,Interdit,01 déc 1999,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/589/legislation.html,1,mirror_attachment_present
590,Arrêté municipal (Saint-Joseph) - 13 oct 2025,Actif,Réglemente,13 oct 2025,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/590/legislation.html,1,mirror_attachment_present
592,Information - 12 fév 2025,Actif,Réglemente,12 fév 2025,2,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/592/legislation.html,0,needs_manual_search
593,Information - 30 oct 2025,Actif,Indéfini,30 oct 2025,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/593/legislation.html,0,needs_manual_search
594,Information - 30 oct 2025,Actif,Indéfini,30 oct 2025,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/594/legislation.html,0,needs_manual_search
595,Arrêté - 02 juil 2025,Actif,Réglemente,02 juil 2025,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/595/legislation.html,1,mirror_attachment_present
596,Arrêté municipal (Rupit i Pruit) - 19 oct 2021,Actif,Réglemente,19 oct 2021,2,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/596/legislation.html,1,mirror_attachment_present
597,Arrêté - 22 oct 2025,Actif,Réglemente,22 oct 2025,5,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/597/legislation.html,3,mirror_attachment_present
599,Arrêté municipal (Bras-Panon) - 13 mars 2018,Actif,Réglemente,13 mars 2018,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/599/legislation.html,1,mirror_attachment_present
600,Arrêté municipal (La Bâthie) - 23 jan 2026,Actif,Réglemente,14 oct 2026,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/600/legislation.html,1,mirror_attachment_present
601,Arrêté - 22 fév 2026,Actif,Réglemente,22 fév 2026,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/601/legislation.html,1,mirror_attachment_present
